YEAR,JOBTITLE,CATEGORY,CURRENCY,SALARY,RESIDENCE,EXPERIENCELEVEL,COMPANYLOCATION,COMPANYSIZE
2023,DATA SCIENTIST,data science and research,usd,223400,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,186200,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,167500,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,106500,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,185900,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,129300,UNITED STATES,senior,united states,M
2023,RESEARCH ANALYST,data science and research,usd,72000,UNITED STATES,entry-level,united states,M
2023,RESEARCH ANALYST,data science and research,usd,64000,UNITED STATES,entry-level,united states,M
2023,ANALYTICS ENGINEER,leadership and management,usd,179820,UNITED STATES,senior,united states,M
2023,ANALYTICS ENGINEER,leadership and management,usd,143860,UNITED STATES,senior,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,283050,UNITED STATES,senior,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,188700,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,133000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,58400,UNITED STATES,mid-level,united states,M
2023,RESEARCH ENGINEER,data science and research,usd,141298,UNITED STATES,senior,united states,M
2023,RESEARCH ENGINEER,data science and research,usd,115607,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,100000,UNITED STATES,entry-level,united states,M
2023,DATA ANALYST,data analysis,usd,75000,UNITED STATES,entry-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,266500,CANADA,senior,canada,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,144400,CANADA,senior,canada,M
2023,DATA ENGINEER,data engineering,gbp,58000,UNITED KINGDOM,senior,united kingdom,M
2023,DATA ENGINEER,data engineering,gbp,45000,UNITED KINGDOM,senior,united kingdom,M
2023,RESEARCH SCIENTIST,data science and research,usd,287500,UNITED STATES,senior,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,156000,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,90000,UNITED STATES,mid-level,united states,M
2023,DATA ANALYST,data analysis,usd,70000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,199000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,162000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,170884,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,113923,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,184000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,123000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,235750,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,174250,UNITED STATES,senior,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,165000,UNITED STATES,mid-level,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,118800,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,225000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,150000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,213900,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,116800,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,220000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,150000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,150000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,100000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,247500,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,172200,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,155000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,120000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,226700,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,133300,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,184000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,123000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,130000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,117000,UNITED STATES,senior,united states,M
2023,DATA SCIENCE ENGINEER,data science and research,usd,160000,UNITED STATES,senior,united states,M
2023,DATA SCIENCE ENGINEER,data science and research,usd,140000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,166000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,73000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,185900,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,129300,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,130000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,104000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,143000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,116000,UNITED STATES,senior,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,165000,UNITED STATES,mid-level,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,118800,UNITED STATES,mid-level,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,220000,UNITED STATES,mid-level,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,180000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,184000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,123000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,215000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,200000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,253000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,131000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,220000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,176000,UNITED STATES,senior,united states,M
2023,DATA QUALITY ANALYST,data quality and operations,gbp,40000,UNITED KINGDOM,entry-level,united kingdom,M
2023,DATA QUALITY ANALYST,data quality and operations,gbp,30000,UNITED KINGDOM,entry-level,united kingdom,M
2023,DATA SCIENTIST,data science and research,usd,210000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,147000,UNITED STATES,senior,united states,M
2023,DATA PRODUCT MANAGER,leadership and management,usd,186000,UNITED STATES,mid-level,united states,M
2023,DATA PRODUCT MANAGER,leadership and management,usd,161000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,205000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,152000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,220000,CANADA,mid-level,canada,M
2023,DATA ENGINEER,data engineering,usd,190000,CANADA,mid-level,canada,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,205000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,152000,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,137000,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,110000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,172000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,146000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,148000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,99000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,150000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,130000,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,105000,UNITED STATES,entry-level,united states,M
2023,DATA ENGINEER,data engineering,usd,99000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,52500,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING SCIENTIST,machine learning and ai,usd,180514,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING SCIENTIST,machine learning and ai,usd,108308,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,210000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,147000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,290300,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,196685,UNITED STATES,senior,united states,M
2023,AI ENGINEER,machine learning and ai,usd,220000,UNITED STATES,senior,united states,M
2023,AI ENGINEER,machine learning and ai,usd,176000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,175000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,130000,UNITED STATES,mid-level,united states,M
2023,DATA ARCHITECT,data architecture and modeling,usd,185000,UNITED STATES,senior,united states,M
2023,DATA ARCHITECT,data architecture and modeling,usd,150000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,145000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,115000,UNITED STATES,senior,united states,M
2023,MLOPS ENGINEER,machine learning and ai,usd,133000,UNITED STATES,entry-level,united states,M
2023,MLOPS ENGINEER,machine learning and ai,usd,58300,UNITED STATES,entry-level,united states,M
2023,ANALYTICS ENGINEER,leadership and management,usd,115000,UNITED STATES,senior,united states,M
2023,ANALYTICS ENGINEER,leadership and management,usd,95000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,gbp,89600,UNITED KINGDOM,mid-level,united kingdom,M
2023,DATA ENGINEER,data engineering,gbp,32000,UNITED KINGDOM,mid-level,united kingdom,M
2023,DATA SCIENTIST,data science and research,eur,40000,SPAIN,entry-level,spain,M
2023,DATA SCIENTIST,data science and research,eur,29000,SPAIN,entry-level,spain,M
2023,DATA ANALYST,data analysis,gbp,75000,UNITED KINGDOM,entry-level,united kingdom,M
2023,DATA ANALYST,data analysis,gbp,55000,UNITED KINGDOM,entry-level,united kingdom,M
2023,DATA ANALYST,data analysis,gbp,75000,UNITED KINGDOM,entry-level,united kingdom,M
2023,DATA ANALYST,data analysis,gbp,55000,UNITED KINGDOM,entry-level,united kingdom,M
2023,DATA SCIENTIST,data science and research,eur,70000,IRELAND,senior,ireland,L
2023,DEEP LEARNING ENGINEER,machine learning and ai,cad,409500,CANADA,senior,canada,M
2023,DEEP LEARNING ENGINEER,machine learning and ai,cad,135000,CANADA,senior,canada,M
2023,DATA ENGINEER,data engineering,usd,230300,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,140000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,124935,SOUTH AFRICA,senior,south africa,M
2023,DATA ENGINEER,data engineering,usd,76050,SOUTH AFRICA,senior,south africa,M
2023,DATA SCIENTIST,data science and research,usd,224800,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,131100,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,258000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,171000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,196000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,121000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,195800,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,171500,UNITED STATES,senior,united states,M
2023,DATA MODELER,data architecture and modeling,usd,166000,UNITED STATES,mid-level,united states,M
2023,DATA MODELER,data architecture and modeling,usd,73100,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,220000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,160000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,85000,UNITED STATES,entry-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,65000,UNITED STATES,entry-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,220000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,100000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,185000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,152000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,220000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,100000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,eur,45000,SPAIN,senior,spain,M
2023,DATA SCIENTIST,data science and research,eur,36000,SPAIN,senior,spain,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,220000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,100000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,220000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,100000,UNITED STATES,mid-level,united states,M
2023,RESEARCH ENGINEER,data science and research,usd,220000,UNITED STATES,mid-level,united states,M
2023,RESEARCH ENGINEER,data science and research,usd,100000,UNITED STATES,mid-level,united states,M
2023,DATA ANALYST,data analysis,usd,110000,POLAND,senior,poland,M
2023,DATA ANALYST,data analysis,usd,80000,POLAND,senior,poland,M
2023,DATA ANALYST,data analysis,gbp,30000,UNITED KINGDOM,senior,united kingdom,S
2023,DATA SCIENTIST,data science and research,usd,150200,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,71000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,167200,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,121000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,133000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,58400,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,135000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,110000,UNITED STATES,mid-level,united states,M
2023,DATA PRODUCT OWNER,leadership and management,gbp,85000,UNITED KINGDOM,mid-level,united kingdom,M
2023,DATA PRODUCT OWNER,leadership and management,gbp,60000,UNITED KINGDOM,mid-level,united kingdom,M
2023,DATA SCIENTIST,data science and research,usd,187415,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,114080,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,187415,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,114080,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,166000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,73100,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,306400,CANADA,senior,canada,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,168700,CANADA,senior,canada,M
2023,DATA SCIENTIST,data science and research,usd,187415,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,114080,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,gbp,26800,UNITED KINGDOM,entry-level,united kingdom,M
2023,DATA ANALYST,data analysis,gbp,26800,UNITED KINGDOM,entry-level,united kingdom,M
2023,DATA ANALYST,data analysis,usd,165000,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,140000,UNITED STATES,senior,united states,M
2023,ANALYTICS ENGINEER,leadership and management,usd,150000,UNITED STATES,mid-level,united states,M
2023,DATA ANALYST,data analysis,usd,167000,UNITED STATES,mid-level,united states,M
2023,DATA ANALYST,data analysis,usd,121000,UNITED STATES,mid-level,united states,M
2023,BUSINESS INTELLIGENCE ENGINEER,bi and visualization,usd,185000,UNITED STATES,mid-level,united states,L
2023,BUSINESS INTELLIGENCE ENGINEER,bi and visualization,usd,79600,UNITED STATES,mid-level,united states,L
2023,DATA SCIENTIST,data science and research,usd,190200,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,95100,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,133000,UNITED STATES,entry-level,united states,M
2023,DATA ANALYST,data analysis,usd,58400,UNITED STATES,entry-level,united states,M
2023,DATA ENGINEER,data engineering,usd,90000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,70000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,166000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,73100,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,135000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,100000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,180514,UNITED KINGDOM,senior,united kingdom,M
2023,DATA ENGINEER,data engineering,usd,108308,UNITED KINGDOM,senior,united kingdom,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,294000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,192000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,266000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,167000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,200000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,150000,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,163800,UNITED STATES,entry-level,united states,M
2023,DATA ANALYST,data analysis,usd,88200,UNITED STATES,entry-level,united states,M
2023,DATA ANALYST,data analysis,usd,180400,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,138800,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,gbp,55000,UNITED KINGDOM,mid-level,united kingdom,M
2023,DATA ANALYST,data analysis,gbp,45000,UNITED KINGDOM,mid-level,united kingdom,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,319000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,206000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,215000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,142000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,266000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,167000,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,140130,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,84870,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,178300,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,105400,UNITED STATES,mid-level,united states,M
2023,APPLIED SCIENTIST,data science and research,usd,222200,UNITED STATES,mid-level,united states,L
2023,APPLIED SCIENTIST,data science and research,usd,136000,UNITED STATES,mid-level,united states,L
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,215000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,142000,UNITED STATES,senior,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,240000,UNITED STATES,senior,united states,M
2023,RESEARCH SCIENTIST,data science and research,usd,210000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,122000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,94500,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,150000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENCE CONSULTANT,data science and research,usd,116000,UNITED STATES,senior,united states,M
2023,DATA SCIENCE CONSULTANT,data science and research,usd,90000,UNITED STATES,senior,united states,M
2023,DATA SCIENCE CONSULTANT,data science and research,usd,145000,UNITED STATES,senior,united states,M
2023,DATA SCIENCE CONSULTANT,data science and research,usd,128000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,154000,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,126000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING SCIENTIST,machine learning and ai,usd,240000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING SCIENTIST,machine learning and ai,usd,157250,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,219650,UNITED STATES,executive,united states,M
2023,DATA ENGINEER,data engineering,usd,136000,UNITED STATES,executive,united states,M
2023,DATA SCIENTIST,data science and research,usd,150000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,180000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,125000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,247600,UNITED STATES,senior,united states,L
2023,DATA SCIENTIST,data science and research,usd,127300,UNITED STATES,senior,united states,L
2023,DATA SCIENTIST,data science and research,usd,60000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,55000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,250000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,125000,UNITED STATES,mid-level,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,190000,UNITED STATES,senior,united states,M
2023,MACHINE LEARNING ENGINEER,machine learning and ai,usd,170000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,202600,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,168800,UNITED STATES,senior,united states,M
2023,DATA ENGINEER,data engineering,usd,132000,UNITED STATES,mid-level,united states,M
2023,DATA ENGINEER,data engineering,usd,111000,UNITED STATES,mid-level,united states,M
2023,DATA SCIENTIST,data science and research,usd,203000,UNITED STATES,senior,united states,M
2023,DATA SCIENTIST,data science and research,usd,127000,UNITED STATES,senior,united states,M
2023,BUSINESS INTELLIGENCE ANALYST,bi and visualization,usd,125009,UNITED STATES,mid-level,united states,M
2023,BUSINESS INTELLIGENCE ANALYST,bi and visualization,usd,83339,UNITED STATES,mid-level,united states,M
2023,DATA ANALYST,data analysis,usd,112200,UNITED STATES,senior,united states,M
2023,DATA ANALYST,data analysis,usd,91800,UNITED STATES,senior,united states,M
